DOY,SoilT,SoilM,O2,Rh,CH4,topo
96,20.71,0.3734,18.23801452,1.75484536,-0.17112528,Ridge
97,21.3145,0.3664625,18.21317924,1.913939331,-0.189229005,Ridge
98,21.919,0.359525,18.18834395,2.126314559,-0.181341457,Ridge
99,20.86542857,0.3576,18.28663608,3.403885196,-0.25292507,Ridge
100,21.58338095,0.3603,18.19179753,5.681363887,-0.458661654,Ridge
101,22.30133333,0.363,18.09695898,4.599585946,-0.495589116,Ridge
102,21.944,0.377228571,18.13506147,3.634967518,-0.459156693,Ridge
103,22.18257143,0.369314286,18.12434079,2.994997707,-0.196107799,Ridge
104,21.89271429,0.367314286,18.16235594,2.995058057,0.34669627,Ridge
105,21.09834783,0.360252174,17.6391519,3.681540576,-0.221910449,Ridge
106,21.01021052,0.352189474,17.79964606,3.728458167,-0.243922657,Ridge
107,21.03203383,0.35510188,17.94665533,3.965377356,-0.360139465,Ridge
108,21.05385714,0.358014286,17.96877464,3.938314556,-0.448445318,Ridge
109,20.808875,0.3761,17.68211032,4.773988209,-0.528879475,Ridge
110,20.66373913,0.375608696,17.62457963,2.377577873,-0.219361883,Ridge
111,20.79913044,0.375756522,17.62479288,3.191425947,-0.206731168,Ridge
112,21.32982609,0.379730435,17.60983457,4.839826346,-0.327489929,Ridge
113,22.64208696,0.411286957,17.25497812,5.147462676,-0.244760219,Ridge
114,22.96121739,0.392556522,17.32375686,2.466989985,-0.046254423,Ridge
115,22.21515789,0.402136842,17.29524133,,,Ridge
116,22.72893333,0.403013333,16.83147311,3.272135618,0.007439148,Ridge
117,22.41463636,0.4102,17.24146972,2.124704014,-0.005534576,Ridge
118,22.69511111,0.421855555,17.02107742,,,Ridge
119,21.93542857,0.417071428,17.13899753,2.860241798,-0.030847021,Ridge
120,21.80475,0.419258333,17.02753778,3.450299117,-0.100893736,Ridge
121,21.21416667,0.425266667,17.06343195,2.186699503,-0.056031695,Ridge
122,21.22609091,0.424390909,17.04705695,4.4763531,-0.110559373,Ridge
123,21.61254546,0.423063636,17.1200353,2.118774881,-0.039920966,Ridge
124,22.19318182,0.423581818,17.11347806,3.026474756,-0.055884296,Ridge
125,22.372,0.417609091,17.09726501,3.373802394,-0.076540064,Ridge
126,23.20845455,0.409090909,17.11279203,4.019630754,-0.088751599,Ridge
127,23.19865179,0.39927892,17.32188725,2.721260659,0.117506913,Ridge
128,23.063,0.38564,17.40795377,5.066265205,-0.062009506,Ridge
129,23.03545455,0.386636364,17.31915652,4.849777404,-0.16750216,Ridge
130,22.38008104,0.387942246,17.30180743,4.668178598,-0.162823099,Ridge
131,22.082,0.396163637,17.15472173,4.923348014,-0.149395852,Ridge
132,22.45852174,0.387930435,17.1649952,5.511659215,-0.046091835,Ridge
133,22.42495652,0.392486957,17.29674911,5.839541604,-0.010816672,Ridge
134,22.76041667,0.400758333,17.09652391,5.756757345,0.055835812,Ridge
135,22.7106087,0.394817391,17.21606379,3.601289176,0.032886698,Ridge
136,22.74504348,0.387869565,17.26914528,4.53065205,0.011693236,Ridge
137,22.82281818,0.400136364,17.13849005,7.261976651,1.488670566,Ridge
138,23.01609091,0.387454545,17.17541503,6.137482056,1.085815384,Ridge
139,22.56975,0.395316667,17.17973025,7.359623137,-0.017631168,Ridge
140,22.75527273,0.396581818,17.08207048,1.999817747,2.065011903,Ridge
141,22.82816666,0.409908333,17.0631596,4.106431737,0.162587877,Ridge
142,23.55990909,0.394554546,17.11859558,,,Ridge
143,23.69490909,0.382609091,17.3297242,,,Ridge
144,23.68921739,0.373286956,17.46064091,,,Ridge
145,23.53956522,0.361643478,17.54662716,,,Ridge
146,22.56426087,0.35253913,17.62367678,6.81355173,4.644315025,Ridge
147,22.48572727,0.363472727,17.45762703,7.287294335,-0.748710213,Ridge
148,22.63713044,0.378869565,18.0390838,6.508045878,-0.796517211,Ridge
149,22.61283333,0.404766667,17.94328789,6.240730135,-0.630155483,Ridge
150,22.48452174,0.442652174,17.78574075,6.699419086,-0.371535418,Ridge
151,22.71052174,0.452504348,17.72998037,5.358413657,0.098237979,Ridge
152,22.76790909,0.442863636,17.85358924,2.717543435,0.046726224,Ridge
153,22.72036364,0.458818182,17.82611831,5.168566888,2.801387735,Ridge
154,23.45257143,0.439504762,18.715329,2.858192947,0.133293069,Ridge
155,23.48417391,0.434443478,17.88580682,3.763099249,1.64686038,Ridge
156,23.45675,0.426525,17.86852715,5.791115265,0.15383235,Ridge
157,24.3364,0.40252,17.92946169,4.536958638,0.543074672,Ridge
158,23.54857143,0.403485714,17.92760346,9.022549826,0.074130487,Ridge
159,23.20444444,0.427211111,17.92466494,7.708283635,-0.243618559,Ridge
160,24.9976129,0.422378495,17.90062656,7.023084748,-0.112083075,Ridge
161,25.05130645,0.404089248,17.92718774,8.001614876,0.681437711,Ridge
162,25.105,0.3858,17.97413636,7.624490184,1.430931669,Ridge
163,25.042,0.371771429,17.99981571,6.987554633,1.113457758,Ridge
164,25.136,0.3605,17.99024901,8.460411445,0.639011685,Ridge
165,25.386,0.350533333,18.03662233,7.774514869,-0.158353215,Ridge
166,24.22966667,0.354519444,18.09416432,8.324564476,-0.832630297,Ridge
167,23.07333333,0.358505555,18.10082325,7.970383811,-1.08457764,Ridge
168,21.917,0.362491667,17.82924389,9.407944771,-1.352115995,Ridge
169,20.76066667,0.366477778,17.85740193,7.91222315,-1.505980161,Ridge
